"","Yahoo_US_AAZ_pred$mean","Yahoo_US_MMZ_pred$mean","Yahoo_US_tbats_pred$mean","Yahoo_US_arima_pred$mean","Yahoo_W_AAZ_pred$mean","Yahoo_W_MMZ_pred$mean","Yahoo_W_tbats_pred$mean","Yahoo_W_arima_pred$mean"
"63",65796212.7855493,63875450.2336444,55030999.4605632,106485590.864865,197488030.577108,223370683.702706,191066276.367692,336473593.675676
"64",65951432.6574589,63928378.661384,55042934.5924979,107464437.513513,197962676.242495,223688557.27576,191239640.178509,339648128.432433
"65",66103351.1153556,63978840.6446844,55054121.210567,108443284.162162,198427828.919696,223993192.993704,191405561.886973,342822663.189189
"66",66252038.3779192,64026949.2760202,55064606.1414451,109422130.810811,198883678.469972,224285124.688499,191564356.804871,345997197.945946
"67",66397563.1703291,64072812.6329798,55074433.2965531,110400977.459459,199330410.95733,224564866.136798,191716327.241179,349171732.702703
"68",66539992.7560301,64116533.9846879,55083643.8518167,111379824.108108,199768208.724465,224832911.686894,191861763.007403,352346267.45946
"69",66679392.9678224,64158211.9912574,55092276.4165542,112358670.756757,200197250.467193,225089736.877532,192000941.906019,355520802.216216
"70",66815828.2382901,64197940.8963531,55100367.1921229,113337517.405405,200617711.307382,225335799.047464,192134130.202316,358695336.972973
"71",66949361.6295833,64235810.7129619,55107950.1209237,114316364.054054,201029762.864437,225571537.934792,192261583.079975,361869871.72973
"72",67080054.8625656,64271907.4024855,55115057.0263284,115295210.702703,201433573.325347,225797376.265277,192383545.08073,365044406.486487
"73",67207968.345343,64306313.047281,55121717.7440656,116274057.351351,201829307.513336,226013720.328942,192500250.528487,368218941.243243
"74",67333161.2011846,64339106.0167862,55127960.2455718,117252904,202217126.955135,226220960.544378,192611923.938265,371393476
"75",67455691.2958507,64370361.1273757,55133810.7537836,118231750.648649,202597189.946917,226419472.010315,192718780.410348,374568010.756757
"76",67575615.2643387,64400149.7961015,55139293.8518238,119210597.297297,202969651.618907,226609615.044074,192821026.010042,377742545.513514
"77",67692988.5370609,64428540.188475,55144432.5850071,120189443.945946,203334663.998698,226791735.70663,192918858.133427,380917080.27027
"78",67807865.365465,64455597.3604553,55149248.5565649,121168290.594595,203692376.073311,226966166.314078,193012465.859504,384091615.027027
"79",67920298.8471094,64481383.3948071,55153762.0174704,122147137.243243,204042933.85,227133225.935364,193102030.289136,387266149.783784
"80",68030340.9502064,64505957.5319974,55157991.9507193,123125983.891892,204386480.415853,227293220.876229,193187724.871174,390440684.540541
"81",68138042.5376419,64529376.2957984,55161956.1504012,124104830.540541,204723155.996192,227446445.149318,193269715.716172,393615219.297297
"82",68243453.3904853,64551693.6137662,55165671.2958799,125083677.189189,205053098.011812,227593180.930511,193348161.898071,396789754.054054
"83",68346622.2309987,64572960.9327616,55169153.0213797,126062523.837838,205376441.135068,227733699.001542,193423215.744241,399964288.810811
"84",68447596.7451569,64593227.3296816,55172415.981258,127041370.486486,205693317.344851,227868259.179013,193495023.114279,403138823.567568
"85",68546423.604689,64612539.617565,55175473.9112267,128020217.135135,206003855.980448,227997110.729956,193563723.667902,406313358.324324
"86",68643148.4886498,64630942.4472357,55178339.6857735,128999063.783784,206308183.794345,228120492.774115,193629451.122344,409487893.081081
"87",68737816.1045343,64648478.404643,55181025.3720133,129977910.432432,206606425.003953,228238634.673141,193692333.499587,412662427.837838
"88",68830470.2089411,64665188.1040577,55183542.2801903,130956757.081081,206898701.342321,228351756.406927,193752493.363799,415836962.594595
"89",68921153.627798,64681110.277275,55185901.0110372,131935603.72973,207185132.107812,228460068.937319,193810048.049313,419011497.351351
"90",69009908.2761561,64696281.8589781,55188111.5001849,132914450.378378,207465834.212807,228563774.559453,193865109.879487,422186032.108108
"91",69096775.1775641,64710738.0684061,55190183.0598041,133893297.027027,207740922.23142,228663067.240986,193917786.376784,425360566.864865
"92",69181794.4830294,64724512.4874723,55192124.4176507,134872143.675676,208010508.446264,228758132.949494,193968180.464374,428535101.621622
"93",69265005.4895766,64737637.1354695,55193943.7536756,135850990.324324,208274702.894282,228849149.968324,194016390.659585,431709636.378379
"94",69346446.6584113,64750142.5404988,55195648.7343489,136829836.972973,208533613.411662,228936289.201184,194062511.259501,434884171.135135
"95",69426155.632697,64762057.8077534,55197246.5448405,137808683.621622,208787345.677849,229019714.465775,194106632.518998,438058705.891892
"96",69504169.2549545,64773410.6847839,55198743.9191908,138787530.27027,209036003.258684,229099582.776741,194148840.821505,441233240.648649
"97",69580523.5840909,64784227.6238684,55200147.1685953,139766376.918919,209279687.648676,229176044.618263,194189218.842772,444407775.405406
"98",69655253.9120665,64794533.8416063,55201462.2079204,140745223.567568,209518498.312425,229249244.20657,194227845.707903,447582310.162162
"99",69728394.7802073,64804353.3758527,55202694.5805619,141724070.216216,209752532.725225,229319319.742681,194264797.141923,450756844.918919
"100",69799979.9951703,64813709.140101,55203849.4817464,142702916.864865,209981886.412849,229386403.655663,194300145.614122,453931379.675676
"101",69870042.6445694,64822622.975425,55204931.7803759,143681763.513513,210206652.990539,229450622.836707,194333960.476424,457105914.432433
"102",69938615.1122691,64831115.7000808,55205946.0395039,144660610.162162,210426924.201216,229512098.864306,194366308.096015,460280449.189189
"103",70005729.0933525,64839207.1568702,55206896.5355296,145639456.810811,210642789.952931,229570948.220818,194397251.982448,463454983.945946
"104",70071415.6087713,64846916.2583596,55207787.276189,146618303.459459,210854338.355557,229627282.500714,194426852.909461,466629518.702703
"105",70135705.0196841,64854261.0300495,55208622.0174202,147597150.108108,211061655.756757,229681208.610755,194455169.0317,469804053.45946
"106",70198627.0414897,64861258.65158,55209404.2791707,148575996.756757,211264826.777228,229732828.962407,194482255.996557,472978588.216216
