"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Feb 2020",127041370.486486,96495187.8875417,157587553.085431,80325015.5861091,173757725.386864
"Mar 2020",128020217.135135,97292749.9618655,158747684.308405,81026611.4036697,175013822.866601
"Apr 2020",128999063.783784,98091375.3163385,159906752.251229,81729833.3678903,176268294.199677
"May 2020",129977910.432432,98891045.4583483,161064775.406516,82434653.1967609,177521167.668104
"Jun 2020",130956757.081081,99691742.4251877,162221771.736974,83141043.4186914,178772470.743471
"Jul 2020",131935603.72973,100493448.763037,163377758.696422,83848977.3403682,180022230.119091
"Aug 2020",132914450.378378,101296147.507007,164532753.24975,84558429.016231,181270471.740526
"Sep 2020",133893297.027027,102099822.162173,165686771.891881,85269373.2194726,182517220.834581
"Oct 2020",134872143.675676,102904456.685554,166839830.665797,85981785.4144678,183762501.936883
"Nov 2020",135850990.324324,103710035.468959,167991945.17969,86695641.7305481,185006338.918101
"Dec 2020",136829836.972973,104516543.322666,169143130.623279,87410918.9370419,186248755.008904
"Jan 2021",137808683.621622,105323965.459889,170293401.783355,88127594.419507,187489772.823736
"Feb 2021",138787530.27027,106132287.48196,171442773.058581,88845646.1570845,188729414.383456
"Mar 2021",139766376.918919,106941495.364223,172591258.473615,89565052.7009136,189967701.136924
"Apr 2021",140745223.567568,107751575.442571,173738871.692564,90285793.153544,191204653.981591
"May 2021",141724070.216216,108562514.400598,174885626.031835,91007847.1492912,192440293.283141
"Jun 2021",142702916.864865,109374299.257339,176031534.47239,91731194.8354837,193674638.894246
"Jul 2021",143681763.513513,110186917.35556,177176609.671467,92455816.8545507,194907710.172476
"Aug 2021",144660610.162162,111000356.350564,178320863.973761,93181694.3269068,196139525.997417
"Sep 2021",145639456.810811,111814604.199491,179464309.422131,93908808.8345897,197370104.787032
"Oct 2021",146618303.459459,112629649.15109,180606957.767828,94637142.4056111,198599464.513308
"Nov 2021",147597150.108108,113445479.735927,181748820.480289,95366677.4989834,199827622.717233
"Dec 2021",148575996.756757,114262084.75701,182889908.756504,96097396.990386,201054596.523127
"Jan 2022",149554843.405405,115079453.280816,184030233.529995,96829284.1584393,202280402.652371
"Feb 2022",150533690.054054,115897574.628693,185169805.479415,97562322.6715545,203505057.436554
"Mar 2022",151512536.702703,116716438.368619,186308635.036787,98296496.57533,204728576.830075
"Apr 2022",152491383.351351,117536034.307299,187446732.395404,99031790.280467,205950976.422236
"May 2022",153470230,118356352.482588,188584107.517412,99768188.5511784,207172271.448822
"Jun 2022",154449076.648649,119177383.156216,189720770.141081,100505676.494067,208392476.803231
"Jul 2022",155427923.297297,119999116.80681,190856729.787784,101244239.547447,209611607.047147
"Aug 2022",156406769.945946,120821544.123188,191991995.768704,101983863.471097,210829676.420795
"Sep 2022",157385616.594595,121644655.997921,193126577.191268,102724534.336405,212046698.852784
"Oct 2022",158364463.243243,122468443.521145,194260482.965341,103466238.51691,213262687.969576
"Nov 2022",159343309.891892,123292897.974612,195393721.809171,104208962.679203,214477657.104581
"Dec 2022",160322156.54054,124118010.82597,196526302.255111,104952693.774176,215691619.306905
"Jan 2023",161301003.189189,124943773.723262,197658232.655117,105697419.028614,216904587.349764
"Feb 2023",162279849.837838,125770178.489627,198789521.186049,106443125.937088,218116573.738588
